Student ID,School,Gender,Class level,Parental educational level,Week1_attendance,Week2_attendance,Week3_attendance,Week4_attendance,Week5_attendance,Week6_attendance,Week7_attendance,Week8_attendance,Week9_attendance,Week10_attendance,Week11_attendance,Week12_attendance,Week13_attendance,Week14_attendance,Semester 1 average,Semester 2 average,Semester difference,Household income level,Family dropout history,Child labor involvement,Travel time to school,Mode of transport,Teacher relationship quality,Peer relationship quality,Extra-curricular activities,Section,Household income level (standardized),Travel time to school (minutes),grade_number,stream_letter,subgroup,level_prefix,long_commute_flag,long_walk_flag,attendance_rate,low_attendance_weeks,academic_domain,attendance_domain,income_score,family_dropout_penalty,child_labor_penalty,socioeconomic_domain,teacher_rel_score,peer_rel_score,has_extracurricular,engagement_domain,accessibility_domain,cluster,dropout_risk
250,Weweso MA,Male,5B,Tertiary,0.6,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,52.43,65.33,12.9,2,No,Yes,1 minute,Private transport,Poor,Good,Arts & Performance,,Average,1,5,B,,,0,0,0.942857142857143,0,49.684,94.28571428571429,50,0.0,-30.0,20.0,0,100,100,60.0,99.66666666666667,2,Low
251,Shining Star Preparatory,Male,6B,JHS,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,55.05,5.71,-49.34,3,Yes,No,2 Minutes,Walking,Average,Good,Sports,James Aggrey,High,2,6,B,,,0,0,0.8214285714285714,2,24.304,82.14285714285714,100,-30.0,0.0,70.0,50,100,100,80.0,99.33333333333333,0,Medium
252,Weweso MA,Female,7B2,SHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,49.92,1.69,-48.23,3,Yes,Sometimes,60min,Walking,Average,Good,Arts & Performance,,High,60,7,B,2.0,,0,0,0.9428571428571428,1,20.644000000000002,94.28571428571428,100,-30.0,,44.26929392446634,50,100,100,80.0,80.0,0,Medium
253,Weweso MA,Male,6B,SHS,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.75,51.86,58.35,6.490000000000002,2,Not sure,No,20 minutes,Public transport,Good,Good,Passive screen time,,Average,20,6,B,,,0,0,0.8964285714285715,1,45.382000000000005,89.64285714285715,50,,0.0,44.26929392446634,100,100,100,100.0,93.33333333333333,2,Low
254,Ayeduase RC,Male,7B3,JHS,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,70.49,77.38,6.890000000000001,3,Yes,No,50min,Walking,Good,Good,Academic/Clubs,,High,50,7,B,3.0,,0,0,0.8714285714285713,1,60.525999999999996,87.14285714285714,100,-30.0,0.0,70.0,100,100,100,100.0,83.33333333333333,2,Low
255,Weweso MA,Male,5B,Tertiary,0.2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,51.97,59.03,7.060000000000002,3,Yes,Sometimes,6 minutes,Public transport,Average,Average,Sports,,High,6,5,B,,,0,0,0.8142857142857142,3,45.812000000000005,81.42857142857142,100,-30.0,,44.26929392446634,50,50,100,60.0,98.0,1,High
256,Shining Star Preparatory,Female,JHS 2,Tertiary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.75,1.0,1.0,1.0,53.38,61.96,8.579999999999998,2,Yes,Yes,90 minutes,Public transport,Good,Average,Arts & Performance,Kofi Annan,Average,90,8,,,JHS,0,0,0.9678571428571429,0,47.85200000000001,96.78571428571429,50,-30.0,-30.0,0.0,100,50,100,80.0,80.0,2,Low
257,Weweso MA,Female,6B,Tertiary,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.94,7.68,-45.26,2,No,Yes,60 minutes,Walking,Average,Good,Sports,,Average,60,6,B,,,0,0,0.9714285714285714,0,24.248,97.14285714285714,50,0.0,-30.0,20.0,50,100,100,80.0,80.0,0,Medium
258,Shining Star Preparatory,Female,JHS 2,JHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.71,67.0,15.29,2,Not sure,No,60min,Walking,Good,Good,Arts & Performance,Kofi Annan,Average,60,8,,,JHS,0,0,1.0,0,50.542,100.0,50,,0.0,44.26929392446634,100,100,100,100.0,80.0,2,Low
259,Shining Star Preparatory,Male,4,SHS,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,51.76,85.45,33.69,1,No,Yes,1hr,Walking,Good,Good,Arts & Performance,Kofi Annan,Low,60,4,,,,0,0,0.9,1,61.622,90.0,0,0.0,-30.0,0.0,100,100,100,100.0,80.0,2,Low
260,Weweso MA,Male,4,JHS,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0,1.0,51.44,1.91,-49.53,3,Yes,No,1min,Walking,Good,Average,,,High,1,4,,,,0,0,0.8714285714285713,2,21.34,87.14285714285714,100,-30.0,0.0,70.0,100,50,0,60.0,99.66666666666667,0,Medium
261,Weweso MA,Male,5B,SHS,0.4,1.0,1.0,1.0,0.0,1.0,1.0,0.6,0.0,0.75,1.0,1.0,1.0,1.0,52.44,4.17,-48.27,3,No,Yes,10 Minutes,Public transport,Average,Poor,Passive screen time,,High,10,5,B,,,0,0,0.7678571428571429,3,22.644,76.78571428571429,100,0.0,-30.0,70.0,50,0,100,40.0,96.66666666666667,1,High
262,Shining Star Preparatory,Female,JHS 2,SHS,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,51.0,7.76,-43.24,3,Not sure,No,10 Minutes,Public transport,Average,Good,,Kofi Annan,High,10,8,,,JHS,0,0,0.8785714285714287,2,23.504,87.85714285714286,100,,0.0,44.26929392446634,50,100,0,60.0,96.66666666666667,0,Medium
263,Shining Star Preparatory,Female,7B3,SHS,0.4,1.0,0.8,1.0,0.25,1.0,0.75,1.0,1.0,0.2,1.0,1.0,1.0,1.0,52.56,5.45,-47.11,2,No,No,30 minutes,Private transport,Good,Average,Arts & Performance,Kofi Annan,Average,30,7,B,3.0,,0,0,0.8142857142857143,3,23.204,81.42857142857143,50,0.0,0.0,50.0,100,50,100,80.0,90.0,0,Medium
264,Ayeduase RC,Male,4,Tertiary,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.75,72.09,7.12,-64.97,2,Not sure,Yes,10 minutes,Public transport,Good,Good,Arts & Performance,,Average,10,4,,,,0,0,0.8821428571428571,2,31.684,88.21428571428571,50,,-30.0,44.26929392446634,100,100,100,100.0,96.66666666666667,0,Medium
265,Shining Star Preparatory,Male,JHS 1,JHS,1.0,1.0,0.8,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,51.6,3.56,-48.04,3,No,Yes,10 minutes,Walking,Good,Poor,Arts & Performance,Kofi Annan,High,10,7,,,JHS,0,0,0.8571428571428571,2,22.064,85.71428571428571,100,0.0,-30.0,70.0,100,0,100,60.0,96.66666666666667,1,High
266,Ayeduase RC,Male,5B,SHS,0.6,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,51.58,72.87,21.29000000000001,2,Yes,No,1 minute,Public transport,Good,Good,,,Average,1,5,B,,,0,0,0.9,1,54.038000000000004,90.0,50,-30.0,0.0,20.0,100,100,0,80.0,99.66666666666667,2,Low
267,Shining Star Preparatory,Male,7B3,Tertiary,0.25,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.49,71.35,32.85999999999999,3,Not sure,Yes,20 Minutes,Walking,Average,Good,Arts & Performance,Kofi Annan,High,20,7,B,3.0,,0,0,0.9285714285714286,1,50.507999999999996,92.85714285714286,100,,-30.0,44.26929392446634,50,100,100,80.0,93.33333333333333,2,Low
268,Shining Star Preparatory,Male,JHS 1,Tertiary,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,52.88,56.39,3.509999999999998,2,Not sure,No,20 minutes,Public transport,Good,Average,Arts & Performance,Kofi Annan,Average,20,7,,,JHS,0,0,0.8392857142857143,2,44.41,83.92857142857143,50,,0.0,44.26929392446634,100,50,100,80.0,93.33333333333333,2,Low
269,Shining Star Preparatory,Male,6A,Tertiary,1.0,0.75,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.4,0.8,1.0,1.0,0.0,52.93,80.97,28.04,1,Yes,Sometimes,30 minutes,Walking,Good,Good,Arts & Performance,Kofi Annan,Low,30,6,A,,,0,0,0.8392857142857144,2,59.168000000000006,83.92857142857144,0,-30.0,,44.26929392446634,100,100,100,100.0,90.0,2,Low
270,Weweso MA,Female,5B1,SHS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,96.55,0.0,-96.55,3,Yes,Yes,58 minutes,Walking,Average,Good,Sports,,High,58,5,B,1.0,,0,0,0.8178571428571428,3,38.620000000000005,81.78571428571428,100,-30.0,-30.0,40.0,50,100,100,80.0,80.66666666666667,1,High
271,Shining Star Preparatory,Male,7B2,JHS,0.75,1.0,1.0,0.75,0.4,1.0,1.0,1.0,0.75,1.0,0.0,0.2,0.2,1.0,51.84,67.62,15.78,1,No,Sometimes,8 minutes,Private transport,Good,Average,,Kofi Annan,Low,8,7,B,2.0,,0,0,0.7178571428571427,4,50.940000000000005,71.78571428571428,0,0.0,,44.26929392446634,100,50,0,60.0,97.33333333333333,1,High
272,Shining Star Preparatory,Female,JHS 1,JHS,0.8,1.0,0.8,1.0,1.0,0.75,0.0,1.0,1.0,0.6,1.0,0.8,1.0,1.0,55.76,4.35,-51.41,1,No,No,30 minutes,Public transport,Good,Good,Sports,Kofi Annan,Low,30,7,,,JHS,0,0,0.8392857142857143,1,24.044,83.92857142857143,0,0.0,0.0,0.0,100,100,100,100.0,90.0,0,Medium
273,Weweso MA,Male,6A,JHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,51.58,99.46,47.88,2,No,No,30min,Public transport,Good,Average,Arts & Performance,,Average,30,6,A,,,0,0,0.9107142857142857,1,69.99199999999999,91.07142857142857,50,0.0,0.0,50.0,100,50,100,80.0,90.0,2,Low
274,Weweso MA,Male,5A,SHS,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,53.78,85.66,31.88,3,No,No,30 minutes,Private transport,Poor,Good,Academic/Clubs,,High,30,5,A,,,0,0,0.9249999999999999,1,62.152,92.5,100,0.0,0.0,100.0,0,100,100,60.0,90.0,2,Low
275,Ayeduase RC,Female,6,Tertiary,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,52.3,75.55,23.25,3,No,No,120 minutes,Public transport,Good,Good,Arts & Performance,,High,120,6,,,,0,0,0.9107142857142857,1,55.79,91.07142857142857,100,0.0,0.0,100.0,100,100,100,100.0,80.0,2,Low
276,Shining Star Preparatory,Female,6A,Tertiary,0.0,0.4,1.0,1.0,0.75,1.0,1.0,0.2,0.75,0.4,1.0,1.0,1.0,0.8,90.87,86.06,-4.810000000000002,2,No,Sometimes,90 minutes,Public transport,Good,Good,Arts & Performance,Kofi Annan,Average,90,6,A,,,0,0,0.7357142857142858,4,70.772,73.57142857142858,50,0.0,,44.26929392446634,100,100,100,100.0,80.0,2,Low
277,Weweso MA,Female,5A,SHS,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,1.0,52.32,86.76545122347696,34.44545122347696,2,No,Sometimes,15 Minutes,Public transport,Poor,Good,Arts & Performance,,Average,15,5,A,,,0,0,0.8357142857142856,3,62.52327073408618,83.57142857142857,50,0.0,,44.26929392446634,0,100,100,60.0,95.0,2,Low
278,Weweso MA,Male,6,Tertiary,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,45.15,2.48,-42.67,2,No,Yes,30 minutes,Walking,Good,Poor,Academic/Clubs,,Average,30,6,,,,0,0,0.9142857142857143,1,19.052,91.42857142857143,50,0.0,-30.0,20.0,100,0,100,60.0,90.0,0,Medium
279,Shining Star Preparatory,Female,6,Tertiary,0.4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,1.0,1.0,1.0,68.24,83.54,15.30000000000001,3,No,No,20min,Public transport,Good,Good,Arts & Performance,Kofi Annan,High,20,6,,,,0,0,0.7714285714285715,4,63.772000000000006,77.14285714285715,100,0.0,0.0,100.0,100,100,100,100.0,93.33333333333333,2,Low
280,Shining Star Preparatory,Female,5B1,Tertiary,1.0,1.0,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,61.24,57.33,-3.910000000000004,3,No,No,8 minutes,Walking,Average,Average,Arts & Performance,Kofi Annan,High,8,5,B,1.0,,0,0,0.7571428571428571,3,47.428000000000004,75.71428571428571,100,0.0,0.0,100.0,50,50,100,60.0,97.33333333333333,1,High
281,Shining Star Preparatory,Male,6B2,SHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,52.39,4.31,-48.08,2,Not sure,No,60 minutes,Walking,Average,Average,Sports,Kwame Nkrumah,Average,60,6,B,2.0,,0,0,0.9285714285714286,1,22.680000000000003,92.85714285714286,50,,0.0,44.26929392446634,50,50,100,60.0,80.0,0,Medium
282,Shining Star Preparatory,Male,4,Tertiary,0.75,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.75,53.12,31.17,-21.95,3,Not sure,Sometimes,10 minutes,Private transport,Poor,Good,Arts & Performance,Kwegyir Aggrey,High,10,4,,,,0,0,0.8071428571428572,2,33.716,80.71428571428572,100,,,44.26929392446634,0,100,100,60.0,96.66666666666667,1,High
283,Shining Star Preparatory,Female,4A,JHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,58.79,4.49,-54.3,2,Yes,No,20 minutes,Walking,Poor,Good,Academic/Clubs,Kofi Annan,Average,20,4,A,,,0,0,0.9857142857142858,0,25.312,98.57142857142858,50,-30.0,0.0,20.0,0,100,100,60.0,93.33333333333333,0,Medium
284,Shining Star Preparatory,Male,6A,JHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,51.73,6.12,-45.61,3,No,No,30 minutes,Walking,Good,Poor,Sports,Kofi Annan,High,30,6,A,,,0,0,0.9571428571428572,1,23.14,95.71428571428572,100,0.0,0.0,100.0,100,0,100,60.0,90.0,0,Medium
285,Shining Star Preparatory,Male,5B1,SHS,0.4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,21.77,60.13,38.36,1,No,No,2min,Public transport,Average,Poor,Arts & Performance,K.A. Busia,Low,2,5,B,1.0,,0,0,0.8321428571428572,3,40.432,83.21428571428572,0,0.0,0.0,0.0,50,0,100,40.0,99.33333333333333,1,High
286,Shining Star Preparatory,Male,JHS 1,SHS,1.0,0.75,0.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,61.55,71.29,9.740000000000009,2,No,No,20 minutes,Walking,Poor,Average,Sports,Kofi Annan,Average,20,7,,,JHS,0,0,0.8392857142857143,2,55.08400000000001,83.92857142857143,50,0.0,0.0,50.0,0,50,100,40.0,93.33333333333333,1,High
287,Ayeduase RC,Male,4B,Tertiary,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.2,66.88,14.67999999999999,2,Yes,No,15 minutes,Walking,Average,Poor,Arts & Performance,,Average,15,4,B,,,0,0,0.9464285714285714,1,50.568000000000005,94.64285714285714,50,-30.0,0.0,20.0,50,0,100,40.0,95.0,2,Low
288,Weweso MA,Female,4A,Tertiary,0.8,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.2,1.0,51.91,6.69,-45.22,1,Not sure,No,10 minutes,Walking,Average,Good,Arts & Performance,,Low,10,4,A,,,0,0,0.8714285714285713,2,23.439999999999998,87.14285714285714,0,,0.0,44.26929392446634,50,100,100,80.0,96.66666666666667,0,Medium
289,Shining Star Preparatory,Male,5B1,Tertiary,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,1.0,55.15,67.39,12.24,3,No,Sometimes,8 minutes,Walking,Good,Average,Sports,Kofi Annan,High,8,5,B,1.0,,0,0,0.8892857142857143,2,51.464000000000006,88.92857142857143,100,0.0,,44.26929392446634,100,50,100,80.0,97.33333333333333,2,Low
290,Shining Star Preparatory,Female,JHS 2,Tertiary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.25,0.75,51.3,57.66,6.359999999999999,3,Yes,Sometimes,30 minutes,Walking,Good,Good,Sports,Kwegyir Aggrey,High,30,8,,,JHS,0,0,0.9,1,44.856,90.0,100,-30.0,,44.26929392446634,100,100,100,100.0,90.0,2,Low
291,Shining Star Preparatory,Male,JHS 1,Tertiary,1.0,1.0,1.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,61.59,68.89,7.299999999999997,1,Not sure,Sometimes,5 minutes,Public transport,Average,Average,Arts & Performance,Kofi Annan,Low,5,7,,,JHS,0,0,0.8678571428571429,2,53.65200000000001,86.78571428571429,0,,,44.26929392446634,50,50,100,60.0,98.33333333333333,2,Low
292,Shining Star Preparatory,Female,6A,Tertiary,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.6,1.0,1.0,1.0,1.0,0.2,1.0,42.38,3.69,-38.69,3,Yes,Yes,20min,Private transport,Good,Average,Arts & Performance,Kofi Annan,High,20,6,A,,,0,0,0.825,2,18.428,82.5,100,-30.0,-30.0,40.0,100,50,100,80.0,93.33333333333333,0,Medium
293,Weweso MA,Female,4A,Tertiary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,55.84,7.57,-48.27,3,Not sure,Yes,45 minutes,Public transport,Good,Poor,Chores/Duties,,High,45,4,A,,,0,0,0.9571428571428572,1,25.364000000000004,95.71428571428572,100,,-30.0,44.26929392446634,100,0,100,60.0,85.0,0,Medium
294,Shining Star Preparatory,Male,7B3,SHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63.69,5.67,-58.02,1,Yes,No,30 minutes,Walking,Good,Good,Sports,Kofi Annan,Low,30,7,B,3.0,,0,0,1.0,0,27.744,100.0,0,-30.0,0.0,0.0,100,100,100,100.0,90.0,0,Medium
295,Shining Star Preparatory,Male,4B2,SHS,1.0,1.0,0.8,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.8,1.0,1.0,1.0,52.47,0.0,-52.47,1,No,No,20min,Public transport,Good,Average,Sports,Kofi Annan,Low,20,4,B,2.0,,0,0,0.9142857142857144,1,20.988,91.42857142857143,0,0.0,0.0,0.0,100,50,100,80.0,93.33333333333333,0,Medium
296,Shining Star Preparatory,Male,5A,Tertiary,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,51.13,100.0,48.87,2,No,Yes,30 minutes,Walking,Average,Poor,Sports,Kofi Annan,Average,30,5,A,,,0,0,0.9142857142857144,1,70.226,91.42857142857143,50,0.0,-30.0,20.0,50,0,100,40.0,90.0,2,Low
297,Ayeduase RC,Male,4,SHS,0.5,0.5,1.0,1.0,1.0,0.2,1.0,0.8,1.0,1.0,0.5,1.0,1.0,1.0,54.89,55.4,0.509999999999998,1,No,Sometimes,30min,Public transport,Good,Poor,Arts & Performance,,Low,30,4,,,,0,0,0.8214285714285714,1,44.217999999999996,82.14285714285714,0,0.0,,44.26929392446634,100,0,100,60.0,90.0,1,High
298,Shining Star Preparatory,Male,JHS 1,JHS,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.47,7.44,-45.03,2,No,Sometimes,9 minutes,Private transport,Average,Good,Sports,Kofi Annan,Average,9,7,,,JHS,0,0,0.9857142857142858,0,23.964,98.57142857142858,50,0.0,,44.26929392446634,50,100,100,80.0,97.0,0,Medium
299,Ayeduase RC,Male,5B1,SHS,0.6,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,52.29,59.92,7.630000000000003,2,No,Yes,45 minutes,Public transport,Good,Good,Sports,,Average,45,5,B,1.0,,0,0,0.8785714285714284,1,46.410000000000004,87.85714285714285,50,0.0,-30.0,20.0,100,100,100,100.0,85.0,2,Low
300,Weweso MA,Male,4,SHS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,52.06,7.37,-44.69,3,No,Yes,30 minutes,Walking,Average,Good,Academic/Clubs,,High,30,4,,,,0,0,0.8571428571428571,2,23.772000000000002,85.71428571428571,100,0.0,-30.0,70.0,50,100,100,80.0,90.0,0,Medium
301,Weweso MA,Male,5B,JHS,1.0,1.0,1.0,0.0,0.25,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,1.0,60.58,70.91,10.33,1,No,Yes,8min,Public transport,Poor,Good,Sports,,Low,8,5,B,,,0,0,0.8178571428571428,2,54.662000000000006,81.78571428571428,0,0.0,-30.0,0.0,0,100,100,60.0,97.33333333333333,2,Low
302,Shining Star Preparatory,Male,7B1,SHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.92,4.48,-47.44,2,No,Sometimes,20min,Walking,Average,Poor,Arts & Performance,Kofi Annan,Average,20,7,B,1.0,,0,0,1.0,0,22.560000000000002,100.0,50,0.0,,44.26929392446634,50,0,100,40.0,93.33333333333333,0,Medium
303,Shining Star Preparatory,Male,4B,Tertiary,1.0,1.0,1.0,0.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,41.06,8.14,-32.92,3,Yes,No,1 hour,Walking,Average,Average,Academic/Clubs,Kofi Annan,High,60,4,B,,,0,0,0.8142857142857143,3,19.680000000000003,81.42857142857143,100,-30.0,0.0,70.0,50,50,100,60.0,80.0,1,High
304,Ayeduase RC,Female,5,SHS,1.0,1.0,0.2,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.77,7.95,-73.82,3,Not sure,No,1 hour,Private transport,Good,Good,Arts & Performance,,High,60,5,,,,0,0,0.8535714285714285,2,35.888,85.35714285714285,100,,0.0,44.26929392446634,100,100,100,100.0,80.0,0,Medium
305,Shining Star Preparatory,Male,6B,Tertiary,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.61,81.8,30.19,3,Yes,Yes,5min,Private transport,Good,Poor,Arts & Performance,Kofi Annan,High,5,6,B,,,0,0,0.9714285714285714,0,59.402,97.14285714285714,100,-30.0,-30.0,40.0,100,0,100,60.0,98.33333333333333,2,Low
306,Shining Star Preparatory,Female,JHS 1,SHS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,52.26,81.14,28.88,2,No,Yes,30 minutes,Walking,Good,Good,Arts & Performance,Kofi Annan,Average,30,7,,,JHS,0,0,0.9,1,59.135999999999996,90.0,50,0.0,-30.0,20.0,100,100,100,100.0,90.0,2,Low
307,Weweso MA,Male,JHS 2,SHS,0.6,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,37.64,6.77,-30.87,3,Not sure,No,30 minutes,Walking,Good,Good,Sports,,High,30,8,,,JHS,0,0,0.7928571428571428,3,17.764000000000003,79.28571428571428,100,,0.0,44.26929392446634,100,100,100,100.0,90.0,0,Medium
308,Shining Star Preparatory,Male,JHS 1B2,Tertiary,1.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.72,92.19,42.47,2,Yes,No,5 Minutes,Walking,Average,Poor,Arts & Performance,Kofi Annan,Average,5,7,B,2.0,JHS,0,0,0.9107142857142857,1,65.258,91.07142857142857,50,-30.0,0.0,20.0,50,0,100,40.0,98.33333333333333,2,Low
309,Weweso MA,Male,4,Tertiary,1.0,0.8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,52.52,1.74,-50.78,3,No,No,20 minutes,Private transport,Good,Good,Sports,,High,20,4,,,,0,0,0.8428571428571429,2,21.704000000000004,84.28571428571429,100,0.0,0.0,100.0,100,100,100,100.0,93.33333333333333,0,Medium
310,Ayeduase RC,Male,4A,JHS,1.0,0.75,0.75,1.0,1.0,0.25,0.2,1.0,0.6,1.0,1.0,1.0,1.0,1.0,48.21,96.61,48.4,2,Yes,No,8min,Public transport,Good,Poor,Sports,,Average,8,4,A,,,0,0,0.8250000000000001,2,67.608,82.5,50,-30.0,0.0,20.0,100,0,100,60.0,97.33333333333333,2,Low
311,Shining Star Preparatory,Female,6A,Tertiary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,52.27,3.26,-49.01000000000001,2,Yes,Yes,30mins,Private transport,Good,Average,Arts & Performance,Kofi Annan,Average,30,6,A,,,0,0,0.9821428571428571,0,22.212,98.21428571428571,50,-30.0,-30.0,0.0,100,50,100,80.0,90.0,0,Medium
312,Shining Star Preparatory,Male,5A,SHS,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,54.74,6.26,-48.48,3,Yes,No,30 minutes,Public transport,Average,Good,Academic/Clubs,Kofi Annan,High,30,5,A,,,0,0,0.7642857142857142,3,24.400000000000002,76.42857142857142,100,-30.0,0.0,70.0,50,100,100,80.0,90.0,1,High
313,Shining Star Preparatory,Male,4B,Tertiary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,1.0,1.0,1.0,0.25,1.0,50.0,60.24,10.24,3,Yes,Yes,30 minutes,Walking,Good,Average,Sports,Kofi Annan,High,30,4,B,,,0,0,0.8607142857142858,2,46.144000000000005,86.07142857142858,100,-30.0,-30.0,40.0,100,50,100,80.0,90.0,2,Low
314,Ayeduase RC,Male,7B3,SHS,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.75,1.0,1.0,1.0,1.0,0.75,34.74,86.89,52.15,2,No,Sometimes,40 minutes,Public transport,Good,Good,,,Average,40,7,B,3.0,,0,0,0.9071428571428571,1,59.082,90.71428571428571,50,0.0,,44.26929392446634,100,100,0,80.0,86.66666666666667,2,Low
315,Shining Star Preparatory,Female,6B,Tertiary,1.0,1.0,0.25,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,68.26,100.0,31.73999999999999,3,No,No,1 hour,Public transport,Good,Poor,Academic/Clubs,Kofi Annan,High,60,6,B,,,0,0,0.8964285714285715,1,73.652,89.64285714285715,100,0.0,0.0,100.0,100,0,100,60.0,80.0,2,Low
